"%s product requires your attention.","%s produkt wymaga Twojej uwagi."
"%s product was added to your shopping cart.","Produkt %s został dodany do koszyka."
"%s products require your attention.","%s produkt wymaga Twojej uwagi."
"%s products were added to your shopping cart.","Produkty %s zostały dodane do koszyka."
"%s was added to your shopping cart.","%s został dodany do Twojego koszyka."
"* Required Fields","* wymagane pola"
"Choose some products to add to shopping cart.","Wybierz produkty i dodaj do koszyka."
"City","Miasto"
"Clear Shopping Cart","Opróżnij koszyk"
"Close","Zamknij"
"Company","Firma"
"Configure","Konfiguruj"
"Configure Cart Item","Konfiguruj element koszyka"
"Confirm Password","Potwierdź hasło"
"Continue","Kontynuuj"
"Continue Shopping","Kontynuuj zakupy"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Review Your Order","Kontynuuj, aby przejrzeć swoje zamówienie"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Country","Kraj"
"Coupon code ""%s"" is not valid","""%s"" nie jest prawidłowym kodem kuponu"
"Customer Groups","Grupy klientów"
"Customer not found","Nie znaleziono klienta"
"Customers","Klienci"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Określa, czy łącze do Moje Konto &gt; Zamów przez SKU będzie wyświetlone na widżecie"
"Disabled products cannot be added.","Nie można dodać nieaktywnych produktów."
"Discount","Zniżka"
"Discount Codes","Kody rabatowe"
"Display a Link to Loading a Spreadsheet","Wyświetl łącze do ładowania arkusza kalkulacyjnego"
"Easy access to your order history and status","Za pośrednictwem swojego konta możesz na bieżąco śledzić etapy realizacji zamówienia"
"Edit","Edytuj"
"Edit Address","Edytuj adres"
"Edit Items","Edytuj produkty"
"Edit item","Edytuj element"
"Email Address","Adres e-mail"
"Empty Shopping Cart Content Before","Pusty koszyk przed"
"Enable Order by SKU on My Account in Frontend","Włącz Zamów po SKU w panelu Moje Konto"
"Enter a New Address","Dodaj nowy adres"
"Enter your coupon code if you have one.","Wpisz kod kuponu rabatowego, jeżeli masz jakiś."
"Enter your destination to get a shipping estimate.","Wpisz miejsce docelowe, aby sprawdzić koszt dostawy."
"Estimate Shipping and Tax","Koszt dostawy i podatku"
"Excl. Tax","Bez podatku"
"Failed to add a product of order item","Nie można dodać produktu"
"Failed to reorder item","Nie można zamówić produktu ponownie"
"Fast and easy check out","W przyszłości nie musisz wypełniać forumlarzy"
"Fax","Faks"
"File","Plik"
"File cannot be uploaded.","Plik nie może zostać przesłany."
"File extensions allowed: .csv","Dozwolone rozszerzenia plików: CSV"
"File is corrupt.","Plik jest uszkodzony."
"File is empty.","Plik jest pusty."
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","Plik musi zawierać dwie kolumny w wierszu nagłówka:""sku"" i ""ilość""."
"Forgot your password?","Nie pamiętasz hasła?"
"Get a Quote","Otrzymaj wycenę"
"Get notified when back in stock","Otrzymaj informację, kiedy produkt będzie znów dostępny"
"Go to Shopping Cart","Przejdź do koszyka"
"Grand Total:","Łącznie:"
"ID","ID"
"Incl. Tax","Z podatkiem"
"Invalid block: %s.","Nieprawidłowy blok: %s."
"Item was successfully removed.","Element został pomyślnie usunięty."
"Items","Elementy"
"Items After","Elementy po"
"Items Before","Elelemnty przed"
"Items were successfully removed.","Elementy zostały pomyślnie usunięte."
"Last ordered items (%s)","Ostatnio zamówione (%s)"
"Link Text","Tekst łącza"
"Load a list of SKUs","Załaduj listę SKU"
"Loading next step...","Ładowanie kolejnego kroku..."
"Login","Logowanie"
"Login/Registration Before","Przed logowaniem/rejestracją"
"Manage Customers","Zarządzaj klientami"
"Manage Shopping Cart","Zarządzaj koszykiem"
"Move to Wishlist","Przenieś do schowka"
"Multishipping Checkout","Zamówienie z wieloma dostawami"
"Multishipping Checkout Address (Any) Form","Formularz adresu (dowolnego) zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Creation","Tworzenie adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Edit Form","Formularz edycji adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Address Selection","Wybór adresu rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Billing Information Step","Krok informacji o płatności zamówienia z wieloma dostawami"
"Multishipping Checkout Customer Address Edit Form","Formularz edycji adresu klienta rozliczeniowego zamówienia z wieloma dostawami"
"Multishipping Checkout Overview","Przegląd zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Creation","Tworzenie adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Edit Form","Formularz edycji adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Address Selection","Wybór adresu dostawy zamówienia z wieloma dostawami"
"Multishipping Checkout Shipping Information Step","Krok informacji o dostawie zamówienia z wieloma dostawami"
"Multishipping Checkout Success","Zamówienie z wieloma dostawami zostało przyjęte"
"My Cart (%s)","Mój koszyk (%s)"
"No","Nie"
"No ordered items","Brak zamówionych przedmiotów"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ŁĄCZNA KWOTA KOSZYKA BĘDZIE WYŚWIETLONA ZANIM ZŁOŻYSZ ZAMÓWIENIE"
"One Page Checkout","Zamówienie na jednej stronie"
"One Page Checkout Failure","Niepowodzenie zamówienia"
"One Page Checkout Overview","Przegląd zamówienia"
"One Page Checkout Success","Sukces zamówienia"
"Only %s%g%s left in stock","Tylko %s%s%g w magazynie"
"Only .csv file format is supported.","Obsługiwany jest tylko format pliku .csv."
"Only <span id=""%s_max_allowed"">%s</span> in stock","Tylko<span id=""%s_max_allowed"">%s</span> szt. w magazynie"
"Options Details","Szczegóły opcji"
"Order by SKU","Sortuj po SKU"
"Order by SKU Description","Sortuj po opisie SKU"
"Order by SKU Settings","Sortuj po ustawieniach SKU"
"Order by SKU Template","Sortuj po szablonie SKU"
"Ordered item id is not received.","Nie otrzymano ID zamówionego produktu."
"Ordered item is not loaded.","Zamówiony produkt nie został załadowany."
"Other items in your order","Inne elementy zamówienia"
"Overview Items After","Za elementami przeglądu"
"Password","Hasło"
"Payment Method","Metoda płatności"
"Payment Methods After","Metody płatności po"
"Payment Methods After Checkout Button","Metody płatności za przyciskiem zamówienia"
"Payment Methods Before","Metody płatności przed"
"Payment Methods Before Checkout Button","Metody płatności przed przyciskiem zamówienia"
"Place Order","Złóż zamówienie"
"Please agree to all Terms and Conditions before placing the orders.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Please enter a valid number in the ""Qty"" field.","Wprowadź prawidłową liczbę w polu ""Ilość""."
"Please log in below:","Skorzystaj z logowania jeżeli posiadasz już konto w naszym sklepie:"
"Please select region, state or province","Wybierz województwo"
"Please select shipping address for applicable items","Wybierz adres dostawy dla odpowiednich produktów"
"Please specify the product\'s options.","Określ opcje produktu."
"Price","Cena"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product name","Nazwa produktu"
"Products","Produkty"
"Products Requiring Attention","Produkty wymagające uwagi"
"Products in the Comparison List (%s)","Porównywane produkty (%s)"
"Qty","Ilość"
"Qty To Add","Ilość do dodania"
"Quote item id is not received.","Nie otrzymano ID elementu zapytania."
"Quote item is not loaded.","Element zapytania nie jest załadowany."
"Recently Compared Products (%s)","Ostatnio porównywane produkty (%s)"
"Recently Viewed Products (%s)","Ostatnio oglądane produkty (%s)"
"Recently added item(s)","Ostatnio dodane produkty"
"Register","Złóż zamówienie zakładając jednocześnie konto"
"Register and save time!","Zakładając konto oszczędzasz swój czas!"
"Register to Create an Account","Zarejestruj się i utwórz konto"
"Register with us for future convenience:","Zarejestruj się, aby korzystać z ułatwień:"
"Remove","Usuń"
"Remove All","Usuń wszystkie"
"Remove Coupon Code","Usuń kod kuponu"
"Remove Item","Usuń produkt"
"Remove Row","Usuń wiersz"
"Remove item","Usuń produkt"
"Requested quantity is not available.","Wnioskowana ilość nie jest dostępna."
"Reset","Resetuj"
"Review Order","Podgląd zamówienia"
"Row Subtotal","Suma częściowa rzędu"
"SKU","SKU"
"SKU not found in catalog.","Brak SKU w katalogu."
"SKU: ","SKU: "
"Save in address book","Zapisz w książce adresowej"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Select Address","Wybierz adres"
"Select Shipping Method","Wybierz formę dostawy"
"Select State/Province...","Wybierz województwo..."
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub utwórz nowy adres."
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub wpisz nowy adres."
"Send To","Wyślij do"
"Ship to Multiple Addresses","Dostawa pod wiele adresów"
"Ship to different address","Dostawa pod inny adres"
"Ship to this address","Dostawa pod ten adres"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Metoda dostawy"
"Shipping To","Dostawa do"
"Shipping selection is not applicable","Wybór dostawy jest niedostępny"
"Shopping Cart","Koszyk"
"Shopping Cart Items","Produkty w koszyku"
"Shopping Cart Items After","Produkty w koszyku po"
"Shopping Cart Items Before","Produkty w koszyku przed"
"Shopping Cart Management","Zarządzaj koszykiem"
"Shopping Cart for %s in %s","Koszyk dla %s w %s"
"Shopping cart management disabled for this customer.","Zarządzanie koszykiem jest wyłączone dla tego klienta."
"Sorry, no quotes are available for this order at this time.","Niestety, żadne możliwości nie są dostępne dla tego zamówienia w chwili obecnej."
"Specify the product\'s options","Określ opcje product"
"State/Province","Województwo"
"Store not found.","Nie znaleziono sklepu."
"Street Address","Adres pocztowy"
"Street Address %s","Adres pocztowy %s"
"Submitting order information...","Przetwarzanie zamówienia..."
"Subtotal","Suma częściowa"
"Subtotal:","Suma częściowa:"
"Telephone","Telefon"
"The product cannot be added to cart in requested quantity.","Nie można dodać do koszyka wymaganej ilości produktu."
"The product cannot be added to cart.","Nie można dodać produkt do koszyka."
"The product is assigned to another website.","Produkt jest przypisany do innej strony."
"The text of the link to the My Account &gt; Order by SKU page","Łącze do Mojego Konta &gt; Zamów przez stronę SKU"
"Total","Łącznie"
"Total %d product(s)","Łącznie %d produkt(ów)"
"Total incl. tax","Łącznie brutto"
"Unit Price","Cena jednostkowa"
"Update Items and Qty\'s","Aktualizuj produkty i ilości"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Update Shopping Cart","Aktualizuj koszyk"
"Update Total","Aktualizuj sumę"
"Use Billing Address","Użyj adresu rozliczeniowego"
"VAT Number","Numer NIP (VAT UE)"
"View Details","Zobacz szczegóły"
"View Shopping Cart","Zobacz koszyk"
"View and modify Shopping Cart","Wyświetl i modyfikuj koszyk"
"Wishlist (%s)","Schowek (%s)"
"Wishlist item id is not received.","Nie otrzymano ID produktu schowka."
"Wishlist item is not loaded.","Produkt schowka nie jest załadowany."
"Yes, for Everyone","Tak, dla wszystkich"
"Yes, for Specified Customer Groups","Tak, dla określonych grup klientów"
"You have %d item(s) requiring attention.","Masz %d produktów wymagających uwagi."
"You have no items in your shopping cart.","Nie masz produktów w koszyku."
"You have not entered any product sku.","Nie podano żadnego SKU produktu."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","Nie podano żadnego SKU produktu. <a href=""%s"">Kliknij tutaj</a>, aby dodać SKU produktu(ów)."
"Zip/Postal Code","Kod pocztowy"
