"Matched %d Customers of Segment %s","Dopasowano %d klientów z segmentu %s"
"Matched Customers (%d)","Dopasowano klientów (%d)"
"Name","Nazwa"
"New Segment","Nowy segment"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Number of Cart Line Items","Liczba pozycji koszyka"
"Number of Customers","Liczba klientów"
"Number of Orders","Liczba zamówień"
"Number of Orders %s %s while %s of these Conditions match:","Liczba zamówień %s %s gdy jest spełnionych %s z warunków:"
"Number of Shopping Cart Line Items %s %s:","Liczba linii pozycji w  koszyku %s %s:"
"Order Address","Adres zamówienia"
"Order Address %s","Adres zamówienia %s"
"Order Address %s a %s Address","Zamówienia adres %s %s adres"
"Order Address Attributes","Cechy adresu zamówienia"
"Order Status","Status zamówienia"
"Order Status %s %s:","Status zamówienia %s %s:"
"Period %s %s Days Up To Date","Okres %s %s dni do daty"
"Please save this information in order to specify the conditions for segmentation","Zapisz te informacje w celu określenia warunków segmentacji"
"Product %s","Produkt %s"
"Product Attributes","Cechy produktu"
"Product History","Historia produktu"
"Product List","Lista produktów"
"Products","Produkty"
"Products Quantity","Ilość produktów"
"Purchased Quantity","Ilość zakupionych"
"Refresh Data","Odśwież dane"
"Refresh Segment Data","Odśwież dane segmentu"
"Registered Customers","Zarejestrowani klienci"
"Reports","Raporty"
"Sales","Sprzedaże"
"Sales Amount","Kwota sprzedaży"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Segment Customers matching error.","Błąd dopasowania klientów segmentu."
"Segment Information","Informacje o segmencie"
"Segment Name","Nazwa segmentu"
"Segments","Segmenty"
"Set","Ustaw"
"Shipping","Dostawa"
"Shopping Cart","Koszyk"
"Shopping Cart %s Amount %s %s:","Suma %s %s w koszyku %s:"
"Shopping Cart Products Qty %s %s:","Liczba produktów w koszyku %s %s:"
"Shopping Cart Total","Wartość koszyka"
"Specified","Wybrane"
"State/Province","Województwo"
"Status","Status"
"Store Credit","Kredyt w sklepie"
"Subtotal","Suma częściowa"
"Tax","Podatek"
"Telephone","Telefon"
"The segment has been deleted.","Segment został usunięty."
"The segment has been saved.","Segment został zapisany."
"Total","Łącznie"
"Unable to delete the segment.","Nie można usunąć segmentu."
"Unable to save the segment.","Nie można zapisać segmentu."
"Union","Związek"
"Unknown operator specified.","Nieznany operator."
"Unknown quote total specified.","Określono nieznaną kwotę."
"Up To Date","Aktualne"
"Use in Customer Segment","Wykorzystaj w segmencie klienckim"
"View Combined Report","Zobacz łączny raport"
"Viewing combined ""%s"" report from segments: %s","Wyświetlanie łącznego ""%s"" raportu z segmentów: %s"
"Viewing combined ""%s"" report from segments: %s.","Wyświetlanie łącznego ""%s"" raportu z segmentów: %s."
"Visitors","Odwiedzający"
"Visitors and Registered Customers","Goście i zarejestrowani klienci"
"Website","Witryna"
"Wishlist","Schowek"
"Wrong ""ApplyTo"" type","Niewłaściwy typ ""ApplyTo"""
"Wrong customer segment requested.","Zgłoszony zły segment klienta."
"ZIP","Kod pocztowy"
"does not exist","nie istnieje"
"does not have","nie ma"
"does not match","nie pasuje"
"exists","istnieje"
"has","ma"
"is not one of","nie jest jednym z"
"is one of","jest jednym z"
"matches","pasuje"
"not subscribed","nie subskrybowało"
"ordered","zamówiło"
"subscribed","subskrybowało"
"viewed","obejrzało"
